"STATUS","INCOME","PS_LAPSE1","SECTOR","PAYMENT_MODE","PAYER_GENDER","INSURED_GENDER","PRODUCT_GROUP","PAYER_AGE_GROUP","PREMIUM","TERM","PAYER_MARITAL_STATUS","INSURED_MARITAL_STATUS","COMPANY_NAME","OCCUPATION_DESC1","PAYPOINT_NAME"
"CAN",4782,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","FUNERAL","26-35",147,99,"S","S","Otherwise","TEACHER","PAYPOINT224"
"LAP",2590,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","26-35",110,99,"S","S","Otherwise","PROFESSIONAL CLERICAL","PAYPOINT202"
"ACT",1098,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","DSO","MALE","MALE","FUNERAL","26-35",271.22,99,"S","S","COMP19","Otherwise","Otherwise"
"ACT",6554,78.6043713655504,"PUBLIC/EDUCATION/GOVERNANCE","RSO","MALE","MALE","FUNERAL","26-35",85.05,99,"M","M","COMP19","Otherwise","PAYPOINT223"
"LAP",4065,88.4615384615385,"TRANSPORT/DRIVING/OPERATIONS","DSO","MALE","MALE","RISK","36-45",176,15,"S","S","COMP70","DRIVER OTHER THAN CHAUFFEUR","PAYPOINT76"
"LAP",6295,78.6043713655504,"CONSTRUCTION/TRADES/CRAFTWORK","ADD","MALE","MALE","RISK","26-35",250,10,"S","S","COMP41","Otherwise","PAYPOINT202"
"ACT",1932,84.6153846153846,"UTILITIES/WATER/ENVIRONMENT","DSO","MALE","MALE","RISK","26-35",130,25,"M","M","COMP19","Otherwise","Otherwise"
"ACT",5498,72.7272727272727,"SERVICES/SALES/CONSULTING","ADD","MALE","MALE","RISK","26-35",154,25,"M","M","Otherwise","Otherwise","PAYPOINT21"
"ACT",2368,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","26-35",185.85,99,"M","M","Otherwise","GENERAL DUTY ASSISTANT","PAYPOINT21"
"SUR",3500,78.6043713655504,"SERVICES/SALES/CONSULTING","ADD","FEMALE","FEMALE","RISK","26-35",220.5,10,"S","S","COMP19","Otherwise","PAYPOINT202"
"LAP",1239,78.6043713655504,"SERVICES/RETAIL/SMALL BUSINESS","DSO","MALE","MALE","FUNERAL","18-25",197.35,99,"S","S","COMP102","Otherwise","Otherwise"
"ACT",1636,88.2727090435131,"SERVICES/SANITATION/PROCESSING","RSO","FEMALE","FEMALE","RISK","26-35",130,26,"M","M","Otherwise","CLEANER","PAYPOINT223"
"LAP",904,78.6043713655504,"SERVICES/SANITATION/PROCESSING","RSO","FEMALE","FEMALE","FUNERAL","18-25",133,99,"S","S","COMP71","CLEANER","PAYPOINT223"
"LAP",1293,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","ADD","MALE","MALE","FUNERAL","36-45",103,99,"S","S","COMP19","SECURITY OFFICER  WATCHMAN","PAYPOINT202"
"LAP",9674,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","FEMALE","FEMALE","FUNERAL","26-35",262.05,99,"M","M","COMP19","TEACHER","Otherwise"
"ACT",1103,78.6043713655504,"SERVICES/SANITATION/PROCESSING","RSO","FEMALE","FEMALE","FUNERAL","36-45",160.65,99,"S","S","Otherwise","CLEANER","PAYPOINT223"
"ACT",11253,72,"CORPORATE/FINANCE/ADMINISTRATION","ADD","MALE","MALE","RISK","18-25",400,10,"S","S","COMP19","PROFESSIONAL CLERICAL","PAYPOINT202"
"ACT",1900,78.6043713655504,"TRANSPORT/DRIVING/OPERATIONS","ADD","MALE","MALE","FUNERAL","18-25",129.15,99,"S","S","COMP84","DRIVER OTHER THAN CHAUFFEUR","PAYPOINT202"
"ACT",1038,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","RISK","26-35",100,5,"S","S","COMP156","Otherwise","PAYPOINT224"
"LAP",2700,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","ADD","MALE","MALE","FUNERAL","26-35",101.85,99,"S","S","COMP19","TECHNICIAN","PAYPOINT21"
"ACT",7501,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","26-35",157.44,99,"S","S","COMP19","TEACHER","PAYPOINT224"
"ACT",7918,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","36-45",288.81,99,"S","S","COMP19","TEACHER","PAYPOINT224"
"LAP",790,78.6043713655504,"INDUSTRIAL/MECHANICAL/METALWORK","ADD","MALE","MALE","FUNERAL","18-25",91,99,"S","S","COMP19","Otherwise","PAYPOINT21"
"LAP",1385,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","ADD","FEMALE","FEMALE","FUNERAL","26-35",114,99,"S","S","COMP35","SECURITY OFFICER  WATCHMAN","PAYPOINT202"
"LAP",1300,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","ADD","MALE","MALE","FUNERAL","26-35",115,99,"S","S","COMP19","SECURITY OFFICER  WATCHMAN","PAYPOINT202"
"ACT",2153,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","FUNERAL","26-35",308.87,99,"S","S","COMP121","GENERAL DUTY ASSISTANT","Otherwise"
"ACT",13787,78.6043713655504,"SERVICES/SALES/CONSULTING","DSO","MALE","MALE","FUNERAL","26-35",183.55,99,"M","M","COMP19","Otherwise","Otherwise"
"ACT",781,78.6043713655504,"SERVICES/SANITATION/PROCESSING","DSO","FEMALE","FEMALE","FUNERAL","36-45",105,99,"S","S","COMP19","CLEANER","Otherwise"
"ACT",3113,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","FUNERAL","26-35",232.16,99,"M","M","COMP19","SECRETARY","Otherwise"
"ACT",7236,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","26-35",155.45,99,"S","S","COMP19","TEACHER","PAYPOINT224"
