original,corrected,confidence,original_freq,corrected_freq,top_candidates,sample_phrases
deeds,dress,0.534,1,38,dress(0.534),examiner title deeds
glass,ass,0.516,1,32,ass(0.516); gas(0.432); loss(0.432),glass cutter
camel,game,0.72,1,164,game(0.720); camp(0.720); care(0.501); panel(0.471); cage(0.462),camel trainer
light,night,0.8599999999999999,2,284,night(0.860); lift(0.429),light duty driver
systerms,system,0.9249999999999999,2,345,system(0.925); sisters(0.825); systems(0.784),senior systerms egineer
egineer,engineer,1.0125,2,2763,engineer(1.012),senior systerms egineer
tearing,leading,0.542,2,14,leading(0.542); clearing(0.537),tearing flowerist
technicial,technician,1.03,2,5519,technician(1.030); technical(1.030); techinician(0.582); techician(0.572),technicial assistant
weighter,fighter,0.576,2,17,fighter(0.576),back weighter
weifare,welfare,0.8999999999999999,2,437,welfare(0.900); walfare(0.509),family weifare educator
customerr,customer,0.922222222222222,1,416,customer(0.922),customerr services officer
marchendiser,merchandiser,0.6073333333333334,1,8,merchandiser(0.607),marchendiser
bulding,building,0.7084999999999999,1,32,building(0.708),bulding assistant
user,burser,0.7666666666666666,2,211,burser(0.767); snr(0.650); buyer(0.438); super(0.429),systems user analyst computers
computers,computer,1.0222222222222221,2,6147,computer(1.022),systems user analyst computers
clyinder,cylinder,0.5399999999999999,1,5,cylinder(0.540),clyinder filler
killer,skilled,0.8,1,64004,skilled(0.800); filler(0.622); driller(0.524); teller(0.524); griller(0.515),pest killer
loans,land,0.714,2,98,land(0.714); lands(0.528); roads(0.474); loss(0.432),loans consultant
offier,officer,0.9999999999999999,1,40768,officer(1.000); office(0.767); officr(0.592); offficer(0.537); ooficer(0.509),police offier
gen,agent,0.72,1,217,agent(0.720); non(0.533); man(0.533); gang(0.365); rep(0.257),gen duties assistant
offcier,officer,0.9,2,40768,officer(0.900); offficer(0.537); officr(0.509),prison offcier
spanner,planner,0.683,2,61,planner(0.683); skinner(0.593),spanner man
blast,blaster,0.8,1,118,blaster(0.800); plant(0.720),blast licence holder
kitchan,kitchen,0.8999999999999999,2,3207,kitchen(0.900),kitchan hand
