"STATUS","INCOME","PS_LAPSE1","SECTOR","PAYMENT_MODE","PAYER_GENDER","INSURED_GENDER","PRODUCT_GROUP","PAYER_AGE_GROUP","PREMIUM","TERM","PAYER_MARITAL_STATUS","INSURED_MARITAL_STATUS","COMPANY_NAME","OCCUPATION_DESC1","PAYPOINT_NAME"
"OTH",4782,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","FUNERAL","26-35",147,99,"S","S","Otherwise","TEACHER","PAYPOINT224"
"OTH",2590,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","26-35",110,99,"S","S","Otherwise","PROFESSIONAL CLERICAL","PAYPOINT202"
"ACT",1098,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","DSO","MALE","MALE","FUNERAL","26-35",271.22,99,"S","S","COMP19","Otherwise","Otherwise"
"ACT",6554,78.6043713655504,"PUBLIC/EDUCATION/GOVERNANCE","RSO","MALE","MALE","FUNERAL","26-35",85.05,99,"M","M","COMP19","Otherwise","PAYPOINT223"
"OTH",4065,88.4615384615385,"TRANSPORT/DRIVING/OPERATIONS","DSO","MALE","MALE","RISK","36-45",176,15,"S","S","COMP70","DRIVER OTHER THAN CHAUFFEUR","PAYPOINT76"
"OTH",6295,78.6043713655504,"CONSTRUCTION/TRADES/CRAFTWORK","ADD","MALE","MALE","RISK","26-35",250,10,"S","S","COMP41","Otherwise","PAYPOINT202"
"ACT",1932,84.6153846153846,"UTILITIES/WATER/ENVIRONMENT","DSO","MALE","MALE","RISK","26-35",130,25,"M","M","COMP19","Otherwise","Otherwise"
"ACT",5498,72.7272727272727,"SERVICES/SALES/CONSULTING","ADD","MALE","MALE","RISK","26-35",154,25,"M","M","Otherwise","Otherwise","PAYPOINT21"
"ACT",2368,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","26-35",185.85,99,"M","M","Otherwise","GENERAL DUTY ASSISTANT","PAYPOINT21"
"SUR",3500,78.6043713655504,"SERVICES/SALES/CONSULTING","ADD","FEMALE","FEMALE","RISK","26-35",220.5,10,"S","S","COMP19","Otherwise","PAYPOINT202"
"OTH",1239,78.6043713655504,"SERVICES/RETAIL/SMALL BUSINESS","DSO","MALE","MALE","FUNERAL","18-25",197.35,99,"S","S","COMP102","Otherwise","Otherwise"
"ACT",1636,88.2727090435131,"SERVICES/SANITATION/PROCESSING","RSO","FEMALE","FEMALE","RISK","26-35",130,26,"M","M","Otherwise","CLEANER","PAYPOINT223"
"OTH",904,78.6043713655504,"SERVICES/SANITATION/PROCESSING","RSO","FEMALE","FEMALE","FUNERAL","18-25",133,99,"S","S","COMP71","CLEANER","PAYPOINT223"
"OTH",1293,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","ADD","MALE","MALE","FUNERAL","36-45",103,99,"S","S","COMP19","SECURITY OFFICER  WATCHMAN","PAYPOINT202"
"OTH",9674,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","FEMALE","FEMALE","FUNERAL","26-35",262.05,99,"M","M","COMP19","TEACHER","Otherwise"
"ACT",1103,78.6043713655504,"SERVICES/SANITATION/PROCESSING","RSO","FEMALE","FEMALE","FUNERAL","36-45",160.65,99,"S","S","Otherwise","CLEANER","PAYPOINT223"
"ACT",11253,72,"CORPORATE/FINANCE/ADMINISTRATION","ADD","MALE","MALE","RISK","18-25",400,10,"S","S","COMP19","PROFESSIONAL CLERICAL","PAYPOINT202"
"ACT",1900,78.6043713655504,"TRANSPORT/DRIVING/OPERATIONS","ADD","MALE","MALE","FUNERAL","18-25",129.15,99,"S","S","COMP84","DRIVER OTHER THAN CHAUFFEUR","PAYPOINT202"
"ACT",1038,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","RISK","26-35",100,5,"S","S","COMP156","Otherwise","PAYPOINT224"
"OTH",2700,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","ADD","MALE","MALE","FUNERAL","26-35",101.85,99,"S","S","COMP19","TECHNICIAN","PAYPOINT21"
"ACT",7501,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","26-35",157.44,99,"S","S","COMP19","TEACHER","PAYPOINT224"
"ACT",7918,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","36-45",288.81,99,"S","S","COMP19","TEACHER","PAYPOINT224"
"OTH",790,78.6043713655504,"INDUSTRIAL/MECHANICAL/METALWORK","ADD","MALE","MALE","FUNERAL","18-25",91,99,"S","S","COMP19","Otherwise","PAYPOINT21"
"OTH",1385,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","ADD","FEMALE","FEMALE","FUNERAL","26-35",114,99,"S","S","COMP35","SECURITY OFFICER  WATCHMAN","PAYPOINT202"
"OTH",1300,78.6043713655504,"PUBLIC/SECURITY/COMPLIANCE","ADD","MALE","MALE","FUNERAL","26-35",115,99,"S","S","COMP19","SECURITY OFFICER  WATCHMAN","PAYPOINT202"
"ACT",2153,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","FUNERAL","26-35",308.87,99,"S","S","COMP121","GENERAL DUTY ASSISTANT","Otherwise"
"ACT",13787,78.6043713655504,"SERVICES/SALES/CONSULTING","DSO","MALE","MALE","FUNERAL","26-35",183.55,99,"M","M","COMP19","Otherwise","Otherwise"
"ACT",781,78.6043713655504,"SERVICES/SANITATION/PROCESSING","DSO","FEMALE","FEMALE","FUNERAL","36-45",105,99,"S","S","COMP19","CLEANER","Otherwise"
"ACT",3113,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","FUNERAL","26-35",232.16,99,"M","M","COMP19","SECRETARY","Otherwise"
"ACT",7236,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","26-35",155.45,99,"S","S","COMP19","TEACHER","PAYPOINT224"
"OTH",1000,78.6043713655504,"SERVICES/SALES/CONSULTING","ADD","FEMALE","FEMALE","FUNERAL","18-25",132,99,"S","S","COMP19","Otherwise","PAYPOINT202"
"ACT",1000,77.7777777777778,"PROFESSIONAL/ENGINEERING/TECHNICAL","ADD","MALE","MALE","RISK","18-25",125,11,"S","S","COMP19","SKILLED SEMI SKILLED","PAYPOINT202"
"ACT",4705,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","RSO","FEMALE","FEMALE","RISK","26-35",170.89,14,"S","S","Otherwise","MINOR","PAYPOINT224"
"ACT",2311,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","FEMALE","FEMALE","FUNERAL","26-35",258.7,99,"M","M","COMP95","SKILLED SEMI SKILLED","Otherwise"
"ACT",7984,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","RISK","26-35",220.5,14,"S","S","COMP34","TEACHER","PAYPOINT224"
"ACT",6421,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","RSO","FEMALE","FEMALE","FUNERAL","26-35",337.37,99,"S","S","COMP19","Otherwise","PAYPOINT224"
"ACT",1832,94.1176470588235,"PUBLIC/GOVERNMENT/ADMINISTRATION","DSO","FEMALE","FEMALE","RISK","26-35",106,25,"S","S","COMP19","Otherwise","Otherwise"
"ACT",2500,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","26-35",140,99,"S","S","COMP19","SECRETARY","PAYPOINT202"
"ACT",14534,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","RISK","36-45",150,25,"M","M","Otherwise","Otherwise","PAYPOINT224"
"SUR",10740,87.2340425531915,"CORPORATE/FINANCE/ADMINISTRATION","DSO","MALE","MALE","RISK","26-35",202,13,"S","S","COMP19","Otherwise","Otherwise"
"ACT",10685,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","RSO","MALE","FEMALE","RISK","26-35",336.26,17,"S","S","Otherwise","MINOR","PAYPOINT224"
"ACT",5832,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","ADD","MALE","MALE","RISK","26-35",505,20,"M","M","COMP19","MANAGER","PAYPOINT21"
"OTH",3128,78.6043713655504,"LABOUR/GENERAL/MANUAL","DSO","MALE","MALE","FUNERAL","26-35",158,99,"S","S","COMP19","Otherwise","Otherwise"
"ACT",4511,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","FUNERAL","18-25",139.79,99,"S","S","COMP71","TEACHER","PAYPOINT224"
"OTH",11208,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","MALE","MALE","UNKNOWN","26-35",183.8,25,"M","M","Otherwise","Otherwise","PAYPOINT76"
"ACT",1000,84.6153846153846,"TRANSPORT/DRIVING/OPERATIONS","ADD","FEMALE","FEMALE","FUNERAL","26-35",165.9,99,"S","S","COMP19","DRIVER OTHER THAN CHAUFFEUR","PAYPOINT202"
"ACT",1100,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","MALE","MALE","FUNERAL","18-25",137.55,99,"S","S","COMP19","SKILLED SEMI SKILLED","Otherwise"
"ACT",6171,78.6043713655504,"HEALTHCARE/MEDICAL/SCIENTIFIC","ADD","FEMALE","FEMALE","FUNERAL","18-25",117.52,99,"S","S","COMP87","Otherwise","PAYPOINT202"
"OTH",1050,78.6043713655504,"HOSPITALITY/FOOD/ACCOMMODATION","ADD","MALE","MALE","FUNERAL","36-45",197,99,"S","S","COMP19","Otherwise","PAYPOINT202"
"ACT",1523,78.6043713655504,"HOSPITALITY/FOOD/ACCOMMODATION","DSO","FEMALE","FEMALE","INVEST","26-35",100,12,"M","M","COMP121","COOK  CATERING","Otherwise"
"ACT",2200,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","ADD","FEMALE","FEMALE","FUNERAL","18-25",112.08,99,"S","S","Otherwise","SECRETARY","PAYPOINT202"
"ACT",4976,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","RISK","26-35",305,10,"S","S","Otherwise","TEACHER","PAYPOINT224"
