"STATUS","INCOME","PS_LAPSE1","SECTOR","PAYMENT_MODE","PAYER_GENDER","INSURED_GENDER","PRODUCT_GROUP","PAYER_AGE_GROUP","PREMIUM","TERM","PAYER_MARITAL_STATUS","INSURED_MARITAL_STATUS","COMPANY_NAME","OCCUPATION_DESC1","PAYPOINT_NAME"
"ACT",3510,68.1818181818182,"PRIMARY/AGRICULTURE/WILDLIFE","RSO","FEMALE","FEMALE","RISK","18-25",116,25,"S","S","COMP19","Otherwise","PAYPOINT224"
"ACT",4937,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","INVEST","18-25",100,31,"S","S","COMP41","TEACHER","PAYPOINT224"
"ACT",8796,78.6043713655504,"PUBLIC/CUSTOMS/TRANSPORT/LOGISTICS","RSO","FEMALE","FEMALE","FUNERAL","26-35",166.16,99,"S","S","COMP52","Otherwise","PAYPOINT224"
"ACT",2332,78.6043713655504,"PRIMARY/AGRICULTURE/WILDLIFE","RSO","MALE","MALE","RISK","18-25",205,25,"S","S","Otherwise","Otherwise","PAYPOINT224"
"ACT",902,78.6043713655504,"SERVICES/RETAIL/SMALL BUSINESS","ADD","FEMALE","FEMALE","FUNERAL","26-35",151.96,99,"S","S","COMP95","Otherwise","PAYPOINT202"
"ACT",2726,78.6043713655504,"LABOUR/GENERAL/MANUAL","ADD","FEMALE","FEMALE","FUNERAL","36-45",147.07,99,"S","S","COMP34","Otherwise","PAYPOINT202"
"ACT",6071,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","MALE","MALE","RISK","26-35",110.25,5,"S","S","COMP19","SKILLED SEMI SKILLED","PAYPOINT224"
"ACT",6295,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","FEMALE","FEMALE","FUNERAL","18-25",153,99,"S","S","COMP74","TECHNICIAN","Otherwise"
"ACT",2100,78.6043713655504,"TRANSPORT/DRIVING/OPERATIONS","DSO","MALE","MALE","INVEST","46-55",210,16,"M","M","COMP19","DRIVER OTHER THAN CHAUFFEUR","Otherwise"
"ACT",6998,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","DSO","MALE","MALE","FUNERAL","36-45",220.02,99,"S","S","COMP19","Otherwise","Otherwise"
"ACT",11191,94.1176470588235,"INDUSTRIAL/MECHANICAL/METALWORK","DSO","MALE","MALE","RISK","36-45",255,15,"S","UNKNOWN","COMP19","Otherwise","PAYPOINT24"
"ACT",3578,78.6043713655504,"PUBLIC/GOVERNMENT/ADMINISTRATION","RSO","MALE","MALE","FUNERAL","36-45",142.39,99,"M","M","COMP156","Otherwise","PAYPOINT224"
"ACT",12733,78.6043713655504,"CORPORATE/FINANCE/ADMINISTRATION","RSO","MALE","MALE","FUNERAL","26-35",129,99,"M","M","COMP19","PROFESSIONAL CLERICAL","PAYPOINT224"
"ACT",4526,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","RSO","FEMALE","MALE","RISK","26-35",255,19,"M","S","COMP19","MINOR","PAYPOINT224"
"ACT",2274,78.6043713655504,"PROFESSIONAL/ENGINEERING/TECHNICAL","RSO","FEMALE","FEMALE","FUNERAL","36-45",117,99,"S","S","COMP19","SKILLED SEMI SKILLED","PAYPOINT224"
"ACT",1860,78.6043713655504,"HEALTHCARE/NURSING/SOCIAL CARE","RSO","FEMALE","FEMALE","INVEST","36-45",199.65,22,"M","M","COMP19","Otherwise","PAYPOINT223"
